Frage (natürlichsprachlich),SQL-Query,Komplexität,Enthaltene Operatoren,,Antwort,Richtige Lösung,Zeit,Richtige Antwort ?,Bei Fehler : Verwendete Query,Fehleranalyse
Wie viele COVID-19-Provinzmeldungen wurden je Region am 20. März 2021 eingetragen?,"SELECT r.region_name, COUNT(*) AS meldungen
FROM `bigquery-public-data.covid19_italy.data_by_province` AS p
JOIN `bigquery-public-data.covid19_italy.data_by_region` AS r ON p.region_code = r.region_code
WHERE DATE(p.date) = '2021-03-20'
GROUP BY r.region_name;",Medium,"JOIN, LOGICAL CONNECTOR",,"Am 20. März 2021 wurden die folgenden Anzahl an COVID-19-Provinzmeldungen je Region in Italien eingetragen:

Region 1: 10 Meldungen
Region 2: 3 Meldungen
Region 3: 14 Meldungen
Region 4: 6 Meldungen
Region 5: 9 Meldungen
Region 6: 6 Meldungen
Region 7: 6 Meldungen
Region 8: 11 Meldungen
Region 9: 12 Meldungen
Region 10: 4 Meldungen
Region 11: 7 Meldungen
Region 12: 7 Meldungen
Region 13: 6 Meldungen
Region 14: 4 Meldungen
Region 15: 7 Meldungen
Region 16: 8 Meldungen
Region 17: 4 Meldungen
Region 18: 7 Meldungen
Region 19: 11 Meldungen
Region 20: 7 Meldungen
Diese Zahlen zeigen die Verteilung der Meldungen über die verschiedenen Regionen hinweg.","[{
  ""region_name"": ""Piemonte"",
  ""meldungen"": ""17810""
}, {
  ""region_name"": ""Liguria"",
  ""meldungen"": ""10686""
}, {
  ""region_name"": ""Toscana"",
  ""meldungen"": ""21372""
}, {
  ""region_name"": ""Calabria"",
  ""meldungen"": ""12467""
}, {
  ""region_name"": ""Lombardia"",
  ""meldungen"": ""24934""
}, {
  ""region_name"": ""Marche"",
  ""meldungen"": ""12467""
}, {
  ""region_name"": ""Puglia"",
  ""meldungen"": ""14248""
}, {
  ""region_name"": ""Sardegna"",
  ""meldungen"": ""12467""
}, {
  ""region_name"": ""Veneto"",
  ""meldungen"": ""16029""
}, {
  ""region_name"": ""Friuli Venezia Giulia"",
  ""meldungen"": ""10686""
}, {
  ""region_name"": ""Emilia-Romagna"",
  ""meldungen"": ""19591""
}, {
  ""region_name"": ""Umbria"",
  ""meldungen"": ""7124""
}, {
  ""region_name"": ""Lazio"",
  ""meldungen"": ""12467""
}, {
  ""region_name"": ""Campania"",
  ""meldungen"": ""12467""
}, {
  ""region_name"": ""Abruzzo"",
  ""meldungen"": ""10686""
}, {
  ""region_name"": ""Valle d\u0027Aosta"",
  ""meldungen"": ""5343""
}, {
  ""region_name"": ""Molise"",
  ""meldungen"": ""7124""
}, {
  ""region_name"": ""Basilicata"",
  ""meldungen"": ""7124""
}, {
  ""region_name"": ""Sicilia"",
  ""meldungen"": ""19591""
}]","17,84",JA," SELECT region_code, COUNT(*) AS province_count
FROM bigquery-public-data.covid19_italy.data_by_province
WHERE DATE(date) = '2021-03-20'
GROUP BY region_code;
INFO:root:Executing SQL query: SELECT region_code, COUNT(*) AS province_count
FROM bigquery-public-data.covid19_italy.data_by_province
WHERE DATE(date) = '2021-03-20'
GROUP BY region_code;",
Wie hoch war die durchschnittliche bisherige Fallzahl je Provinz innerhalb jeder Region am 21. März 2021?,"SELECT r.region_name, AVG(p.confirmed_cases) AS avg_faelle
FROM `bigquery-public-data.covid19_italy.data_by_province` AS p
JOIN `bigquery-public-data.covid19_italy.data_by_region` AS r ON p.region_code = r.region_code
WHERE DATE(p.date) = '2021-03-21'
GROUP BY r.region_name;",Medium,"JOIN, LOGICAL CONNECTOR",,"Am 21. März 2021 war die durchschnittliche Fallzahl je Provinz innerhalb jeder Region in Italien wie folgt:

Piemonte: 28,891.5 Fälle
Liguria: 14,189.83 Fälle
Toscana: 15,196.33 Fälle
Calabria: 6,215.86 Fälle
Lombardia: 49,851.43 Fälle
Marche: 11,881.86 Fälle
Puglia: 22,066.13 Fälle
Sardegna: 6,179.57 Fälle
Veneto: 40,728.33 Fälle
Friuli Venezia Giulia: 15,275.83 Fälle
Emilia-Romagna: 28,815.18 Fälle
Umbria: 12,306.0 Fälle
Lazio: 38,331.71 Fälle
Campania: 45,570.29 Fälle
Abruzzo: 10,420.83 Fälle
Valle d'Aosta: 2,867.67 Fälle
Molise: 2,995.0 Fälle
Basilicata: 4,589.5 Fälle
Sicilia: 15,076.27 Fälle.","[{
  ""region_name"": ""Piemonte"",
  ""avg_faelle"": ""28891.5000000002""
}, {
  ""region_name"": ""Liguria"",
  ""avg_faelle"": ""14189.833333333287""
}, {
  ""region_name"": ""Toscana"",
  ""avg_faelle"": ""15196.333333333407""
}, {
  ""region_name"": ""Calabria"",
  ""avg_faelle"": ""6215.8571428571249""
}, {
  ""region_name"": ""Lombardia"",
  ""avg_faelle"": ""49851.428571428594""
}, {
  ""region_name"": ""Marche"",
  ""avg_faelle"": ""11881.857142857149""
}, {
  ""region_name"": ""Puglia"",
  ""avg_faelle"": ""22066.124999999964""
}, {
  ""region_name"": ""Sardegna"",
  ""avg_faelle"": ""6179.5714285714193""
}, {
  ""region_name"": ""Veneto"",
  ""avg_faelle"": ""40728.33333333335""
}, {
  ""region_name"": ""Friuli Venezia Giulia"",
  ""avg_faelle"": ""15275.833333333334""
}, {
  ""region_name"": ""Emilia-Romagna"",
  ""avg_faelle"": ""28815.181818181984""
}, {
  ""region_name"": ""Umbria"",
  ""avg_faelle"": ""12305.999999999985""
}, {
  ""region_name"": ""Lazio"",
  ""avg_faelle"": ""38331.714285714406""
}, {
  ""region_name"": ""Campania"",
  ""avg_faelle"": ""45570.285714285674""
}, {
  ""region_name"": ""Abruzzo"",
  ""avg_faelle"": ""10420.833333333347""
}, {
  ""region_name"": ""Valle d\u0027Aosta"",
  ""avg_faelle"": ""2867.6666666666638""
}, {
  ""region_name"": ""Molise"",
  ""avg_faelle"": ""2995.0000000000068""
}, {
  ""region_name"": ""Basilicata"",
  ""avg_faelle"": ""4589.5""
}, {
  ""region_name"": ""Sicilia"",
  ""avg_faelle"": ""15076.272727272741""
}]","19,21",JA,,
"„Wieviele Provinzen pro Region gibt es die , die am 19. März 2021 1000 kumulierte Fälle überschreiten?“","SELECT region_name, COUNT(DISTINCT province_name) AS num_provinces
FROM bigquery-public-data.covid19_italy.data_by_region AS region
JOIN bigquery-public-data.covid19_italy.data_by_province AS province
ON region.region_code = province.region_code
WHERE DATE(region.date) = '2021-03-19'
AND province.confirmed_cases > 1000
GROUP BY region_name;",Medium,LOGICAL CONNECTOR,,"m 19. März 2021 überschritten die folgenden Anzahl von Provinzen pro Region in Italien 1.000 kumulierte COVID-19-Fälle:

Piemonte: 10 Provinzen
Umbria: 4 Provinzen
Marche: 7 Provinzen
Lazio: 6 Provinzen
Abruzzo: 6 Provinzen
Campania: 7 Provinzen
Puglia: 8 Provinzen
Calabria: 6 Provinzen
Sicilia: 9 Provinzen
P.A. Bolzano: 1 Provinz
P.A. Trento: 1 Provinz
Lombardia: 14 Provinzen
Veneto: 9 Provinzen
Friuli Venezia Giulia: 5 Provinzen
Liguria: 6 Provinzen
Emilia-Romagna: 11 Provinzen
Toscana: 11 Provinzen
Valle d'Aosta: 3 Provinzen
Basilicata: 3 Provinzen
Molise: 3 Provinzen
Sardegna: 5 Provinzen.","[{
  ""region_name"": ""Liguria"",
  ""num_provinces"": ""6""
}, {
  ""region_name"": ""Calabria"",
  ""num_provinces"": ""6""
}, {
  ""region_name"": ""Marche"",
  ""num_provinces"": ""7""
}, {
  ""region_name"": ""Sardegna"",
  ""num_provinces"": ""5""
}, {
  ""region_name"": ""P.A. Bolzano"",
  ""num_provinces"": ""1""
}, {
  ""region_name"": ""Veneto"",
  ""num_provinces"": ""9""
}, {
  ""region_name"": ""Friuli Venezia Giulia"",
  ""num_provinces"": ""5""
}, {
  ""region_name"": ""Emilia-Romagna"",
  ""num_provinces"": ""11""
}, {
  ""region_name"": ""Campania"",
  ""num_provinces"": ""7""
}, {
  ""region_name"": ""Abruzzo"",
  ""num_provinces"": ""6""
}, {
  ""region_name"": ""Valle d\u0027Aosta"",
  ""num_provinces"": ""3""
}, {
  ""region_name"": ""Basilicata"",
  ""num_provinces"": ""3""
}, {
  ""region_name"": ""Sicilia"",
  ""num_provinces"": ""9""
}, {
  ""region_name"": ""Piemonte"",
  ""num_provinces"": ""10""
}, {
  ""region_name"": ""Toscana"",
  ""num_provinces"": ""11""
}, {
  ""region_name"": ""Lombardia"",
  ""num_provinces"": ""14""
}, {
  ""region_name"": ""Puglia"",
  ""num_provinces"": ""8""
}, {
  ""region_name"": ""P.A. Trento"",
  ""num_provinces"": ""1""
}, {
  ""region_name"": ""Umbria"",
  ""num_provinces"": ""4""
}, {
  ""region_name"": ""Lazio"",
  ""num_provinces"": ""6""
}, {
  ""region_name"": ""Molise"",
  ""num_provinces"": ""3""
}]","21,2",JA,,
"„Welche Regionen meldeten vom 1. bis 3. April 2021 an einem Tag über 500 neue Fälle, mehr als 10 Todesfälle und über 50 Patienten mit Symptomen? Nenne zwei davon.“^","SELECT 
  region_name, 
  DATE(date) AS report_date, 
  total_confirmed_cases, 
  deaths, 
  tests_performed
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE 
  DATE(date) BETWEEN '2021-04-01' AND '2021-04-03'
  AND new_total_confirmed_cases > 500
  AND deaths > 10
  AND hospitalized_patients_with_symptoms > 50
GROUP BY 
  region_name, 
  DATE(date), 
  total_confirmed_cases, 
  deaths, 
  tests_performed
LIMIT 2;
",Hard,LOGICAL CONNECTOR,,"Die Regionen, die vom 1. bis 3. April 2021 an einem Tag mehr als 500 neue Fälle, mehr als 10 Todesfälle und über 50 Patienten mit Symptomen meldeten, sind:

Piemonte
Marche
Wenn Sie weitere Informationen oder Details benötigen, lassen Sie es mich bitte wissen!

","Piemonte, Marche","8,91",JA,,
"„Welche Regionen hatten am 1. März 2021 mehr als 800 neue Fälle, über 100 Intensivpatienten und mehr als 500 Genesene? Zeige Region, Datum, neue Fälle, ICU-Patienten und Genesene.“","SELECT 
  region_name, 
  DATE(date) AS tag,
  MAX(new_total_confirmed_cases) AS new_cases, 
  MAX(hospitalized_patients_intensive_care) AS icu, 
  MAX(recovered) AS recovered
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-01'
  AND new_total_confirmed_cases > 800
  AND hospitalized_patients_intensive_care > 100
  AND recovered > 500
GROUP BY region_name, DATE(date);
",Hard, LOGICAL CONNECTOR,,"Am 1. März 2021 meldeten die Regionen Piemonte, Lazio, Campania, Lombardia, Emilia-Romagna und Toscana mehr als 800 neue Fälle, über 100 ICU-Patienten und über 500 Genesene.","[{
  ""region_name"": ""Piemonte"",
  ""tag"": ""2021-03-01"",
  ""new_cases"": ""1155"",
  ""icu"": ""175"",
  ""recovered"": ""222293""
}, {
  ""region_name"": ""Lazio"",
  ""tag"": ""2021-03-01"",
  ""new_cases"": ""1044"",
  ""icu"": ""223"",
  ""recovered"": ""193638""
}, {
  ""region_name"": ""Campania"",
  ""tag"": ""2021-03-01"",
  ""new_cases"": ""1896"",
  ""icu"": ""140"",
  ""recovered"": ""187264""
}, {
  ""region_name"": ""Lombardia"",
  ""tag"": ""2021-03-01"",
  ""new_cases"": ""2135"",
  ""icu"": ""441"",
  ""recovered"": ""511811""
}, {
  ""region_name"": ""Emilia-Romagna"",
  ""tag"": ""2021-03-01"",
  ""new_cases"": ""2597"",
  ""icu"": ""236"",
  ""recovered"": ""208350""
}, {
  ""region_name"": ""Toscana"",
  ""tag"": ""2021-03-01"",
  ""new_cases"": ""877"",
  ""icu"": ""172"",
  ""recovered"": ""133961""
}]","12,1",JA,,
Welche Regionen hatten am 1. April 2021 mehr aktive Fälle als am 31. März 2021?,"SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-04-01'
  AND total_current_confirmed_cases > (
    SELECT total_current_confirmed_cases
    FROM `bigquery-public-data.covid19_italy.data_by_region` AS prev
    WHERE DATE(prev.date) = '2021-03-31' AND prev.region_name = `bigquery-public-data.covid19_italy.data_by_region`.region_name
);",Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Es tut mir leid, aber ich konnte die Daten nicht abrufen, um festzustellen, welche Regionen am 1. April 2021 mehr aktive COVID-19-Fälle als am 31. März 2021 hatten. Bitte versuchen Sie es später erneut oder stellen Sie eine andere Anfrage.","[{
  ""region_name"": ""Umbria""
}, {
  ""region_name"": ""Abruzzo""
}, {
  ""region_name"": ""Puglia""
}, {
  ""region_name"": ""Calabria""
}, {
  ""region_name"": ""Sicilia""
}, {
  ""region_name"": ""Sardegna""
}, {
  ""region_name"": ""P.A. Trento""
}, {
  ""region_name"": ""Lombardia""
}, {
  ""region_name"": ""Liguria""
}, {
  ""region_name"": ""Toscana""
}, {
  ""region_name"": ""Valle d\u0027Aosta""
}, {
  ""region_name"": ""Basilicata""
}]","21,22",JA,"SELECT region_name
FROM bigquery-public-data.covid19_italy.data_by_region
WHERE DATE(date) = '2021-04-01' 
AND total_current_confirmed_cases > (
    SELECT total_current_confirmed_cases
    FROM bigquery-public-data.covid19_italy.data_by_region
    WHERE DATE(date) = '2021-03-31'
    AND region_code = data_by_region.region_code    - query davor : SELECT region_name
FROM bigquery-public-data.covid19_italy.data_by_region AS current
WHERE DATE(current.date) = '2021-04-01' 
AND current.total_current_confirmed_cases > (
    SELECT total_current_confirmed_cases
    FROM bigquery-public-data.covid19_italy.data_by_region AS previous
    WHERE DATE(previous.date) = '2021-03-31'
    AND previous.region_code = current.region_code - query davor : - SELECT region_name
FROM bigquery-public-data.covid19_italy.data_by_region
WHERE DATE(date) = '2021-04-01' 
AND total_current_confirmed_cases > (
    SELECT total_current_confirmed_cases
    FROM bigquery-public-data.covid19_italy.data_by_region
    WHERE DATE(date) = '2021-03-31'
    AND data_by_region.region_code = region_code
)",
Welche Regionen hatten am 1. April 2021 mehr neue Fälle als der nationale Durchschnitt?,"SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-04-01'
  AND new_total_confirmed_cases > (
    SELECT AVG(new_total_confirmed_cases)
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-04-01'
);",Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Am 1. April 2021 hatten die folgenden Regionen mehr aktive Fälle (aktuelle bestätigte Fälle) als am 31. März 2021:

Umbria

Aktive Fälle am 1. April: 4,812
Aktive Fälle am 31. März: 4,806
Sicilia

Aktive Fälle am 1. April: 19,870
Aktive Fälle am 31. März: 18,689
Die restlichen Regionen hatten entweder weniger oder gleich viele aktive Fälle an diesem Tag im Vergleich zum Vortag. Wenn Sie weitere Informationen benötigen, lassen Sie es mich bitte wissen!","[{
  ""region_name"": ""Piemonte""
}, {
  ""region_name"": ""Lazio""
}, {
  ""region_name"": ""Campania""
}, {
  ""region_name"": ""Puglia""
}, {
  ""region_name"": ""Sicilia""
}, {
  ""region_name"": ""Lombardia""
}, {
  ""region_name"": ""Veneto""
}, {
  ""region_name"": ""Emilia-Romagna""
}, {
  ""region_name"": ""Toscana""
}]","12,53",Nein,"statt eine Query wurden 2 Querys ausgeführt und verglichen , eine schlug fehl",
"Welche Regionen erscheinen am 1. April 2021 in den COVID-19-Daten, aber nicht am 2. April 2021?","SELECT DISTINCT region_name
FROM bigquery-public-data.covid19_italy.data_by_region
WHERE DATE(date) = '2021-04-01'
AND region_name NOT IN (
    SELECT region_name
    FROM bigquery-public-data.covid19_italy.data_by_region
    WHERE DATE(date) = '2021-04-02'
)",Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Am 1. April 2021 erscheinen alle Regionen, die auch am 2. April 2021 gemeldet wurden. Es gibt keine Regionen, die am 1. April 2021 in den COVID-19-Daten erscheinen, aber nicht am 2. April 2021. Wenn Sie weitere Informationen benötigen oder andere Fragen haben, lassen Sie es mich bitte wissen!",There is no data to display,"11,12",JA,,
"Welche Regionen hatten am 1. März 2021 mehr als neue 1000 Fälle, aber am 2. März 2021 nicht?","SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-01' AND new_total_confirmed_cases > 1000

EXCEPT DISTINCT

SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-02' AND new_total_confirmed_cases > 1000;",Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Am 1. März 2021 hatten die folgenden Regionen mehr als 1.000 neue Fälle gemeldet, waren jedoch am 2. März 2021 nicht dabei:

Keine Regionen.
Alle Regionen, die am 1. März 2021 mehr als 1.000 neue Fälle hatten (Piemonte, Lazio, Campania, Lombardia, Emilia-Romagna), waren ebenfalls am 2. März 2021 gemeldet. Wenn Sie weitere Informationen oder spezifischere Fragen haben, lassen Sie es mich bitte wisse",There is no data to display.,"12,89",JA,,
Welche Regionen hatten am 5. Februar 2021 weniger neue Fälle als am Vortag?,"SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-02-05'
  AND new_total_confirmed_cases < (
    SELECT new_total_confirmed_cases
    FROM `bigquery-public-data.covid19_italy.data_by_region` AS prev
    WHERE DATE(prev.date) = '2021-02-04' AND prev.region_name = `bigquery-public-data.covid19_italy.data_by_region`.region_name
);",Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Am 5. Februar 2021 hatten die folgenden Regionen weniger neue Fälle als am Vortag (4. Februar 2021):

Marche: 414 neue Fälle (am 4. Februar: 480)
Lazio: 1,141 neue Fälle (am 4. Februar: 1,174)
Abruzzo: 276 neue Fälle (am 4. Februar: 526)
Sicilia: 616 neue Fälle (am 4. Februar: 789)
Sardegna: 169 neue Fälle (am 4. Februar: 205)
P.A. Bolzano: 687 neue Fälle (am 4. Februar: 747)
P.A. Trento: 202 neue Fälle (am 4. Februar: 240)
Veneto: 668 neue Fälle (am 4. Februar: 896)
Liguria: 332 neue Fälle (am 4. Februar: 489)
Toscana: 703 neue Fälle (am 4. Februar: 760)
Valle d'Aosta: 8 neue Fälle (am 4. Februar: 11)
Wenn Sie weitere Informationen benötigen oder Fragen haben, lassen Sie es mich bitte wissen!","[{
  ""region_name"": ""Marche""
}, {
  ""region_name"": ""Lazio""
}, {
  ""region_name"": ""Abruzzo""
}, {
  ""region_name"": ""Sicilia""
}, {
  ""region_name"": ""Sardegna""
}, {
  ""region_name"": ""P.A. Bolzano""
}, {
  ""region_name"": ""P.A. Trento""
}, {
  ""region_name"": ""Veneto""
}, {
  ""region_name"": ""Liguria""
}, {
  ""region_name"": ""Toscana""
}, {
  ""region_name"": ""Valle d\u0027Aosta""
}]","13,45",JA," SELECT region_name
FROM bigquery-public-data.covid19_italy.data_by_region
WHERE DATE(date) = '2021-02-05'
AND new_total_confirmed_cases < 0
AND region_name IS NOT NULL;","❌ Vom Bot generierte SQL:
sql
Copy
Edit
SELECT region_name
FROM bigquery-public-data.covid19_italy.data_by_region
WHERE DATE(date) = '2021-02-05'
  AND new_total_confirmed_cases < 0
  AND region_name IS NOT NULL;
❌ Beobachtung:
Die Query prüft fälschlicherweise, ob new_total_confirmed_cases < 0

Solche Werte kommen in echten Daten nicht vor

Resultat: ""Keine Daten gefunden""
→ Antwort ist formal korrekt, aber inhaltlich falsch interpretiert

✅ Richtige SQL-Query:
sql
Copy
Edit
SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region` AS current
WHERE DATE(current.date) = '2021-02-05'
  AND current.new_total_confirmed_cases < (
    SELECT new_total_confirmed_cases
    FROM `bigquery-public-data.covid19_italy.data_by_region` AS prev
    WHERE DATE(prev.date) = '2021-02-04'
      AND prev.region_name = current.region_name
  );
✅ Beschreibung:
Vergleicht new_total_confirmed_cases vom 5. Februar mit dem 4. Februar für jede Region

Gibt nur Regionen zurück, bei denen die Neuinfektionen gesunken sind
"
Welche Regionen meldeten am 2. April 2021 mehr als 1.000 neue Fälle bei gleichzeitig unterdurchschnittlicher Testanzahl?“,"SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region` AS curr
WHERE DATE(curr.date) = '2021-04-02'
  AND curr.new_total_confirmed_cases > 1000
  AND curr.tests_performed < (
    SELECT AVG(tests_performed)
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE DATE(date) = '2021-04-02'
  );
",Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Puglia und Sicilia meldeten mehr als 1000 neue Fälle, jedoch mit einer Testzahl, die unter dem Durchschnitt an Tests lag.",Puglia,"9,12",JA,,
Welche Regionen meldeten am 12. Februar 2021 mehr neue Fälle als der Durchschnitt des Monats?,"SELECT region_name
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-02-12'
  AND new_total_confirmed_cases > (
    SELECT AVG(new_total_confirmed_cases)
    FROM `bigquery-public-data.covid19_italy.data_by_region`
    WHERE EXTRACT(MONTH FROM date) = 2 AND EXTRACT(YEAR FROM date) = 2021
);",Hard,"SUBQUERY, LOGICAL CONNECTOR",,"Am 12. Februar 2021 meldeten die folgenden Regionen in Italien mehr neue COVID-19-Fälle als der Durchschnitt des Monats: Piemonte, Lazio, Campania, Puglia, P.A. Bolzano, Lombardia, Veneto, Emilia-Romagna und Toscana.Am 12. Februar 2021 meldeten die folgenden Regionen mehr neue Fälle als der Durchschnitt des Monats:

Piemonte
Lazio
Campania
Puglia
P.A. Bolzano
Lombardia
Veneto
Emilia-Romagna
Toscana
Wenn Sie weitere Informationen benötigen oder andere Fragen haben, lassen Sie es mich bitte wissen!","Piemonte, Lazio
Campania
Puglia
P.A. Bolzano
Lombardia
Veneto
Emilia-Romagna
Toscana","21,72",JA,,
"Welche Regionen hatten am 5. März 2021 mehr als 500 neue Fälle, mehr als 50 Todesfälle und mehr als 300 Genesene?","SELECT region_name, new_total_confirmed_cases, deaths, recovered
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-05'
  AND new_total_confirmed_cases > 500
  AND deaths > 50
  AND recovered > 300
GROUP BY region_name, new_total_confirmed_cases, deaths, recovered;",Hard,LOGICAL CONNECTOR,,"Am 5. März 2021 meldeten die folgenden Regionen mehr als 500 neue Fälle, mehr als 50 Todesfälle und mehr als 300 Genesene:

Piemonte
Marche
Lazio
Campania
Puglia
Sicilia
Lombardia
Veneto
Friuli Venezia Giulia
Emilia-Romagna
Toscana","Piemonte: 2,283 neue Fälle, 9,461 Todesfälle, 225,923 Genesene
Marche: 1,027 neue Fälle, 2,307 Todesfälle, 58,913 Genesene
Lazio: 1,525 neue Fälle, 6,016 Todesfälle, 198,629 Genesene
Campania: 2,842 neue Fälle, 4,427 Todesfälle, 190,181 Genesene
Puglia: 1,418 neue Fälle, 4,072 Todesfälle, 114,497 Genesene
Sicilia: 519 neue Fälle, 4,213 Todesfälle, 128,329 Genesene
Lombardia: 5,210 neue Fälle, 28,638 Todesfälle, 519,186 Genesene
Veneto: 1,505 neue Fälle, 9,936 Todesfälle, 302,366 Genesene
Friuli Venezia Giulia: 823 neue Fälle, 2,888 Todesfälle, 65,341 Genesene
Emilia-Romagna: 3,246 neue Fälle, 10,721 Todesfälle, 212,341 Genesene
Toscana: 1,231 neue Fälle, 4,761 Todesfälle, 136,890 Genesene.","22,43",JA,,
"Welche Regionen hatten am 4. März 2021 über 900 neue Fälle, mehr als 500 ICU-Patienten und mehr als 1000 Genesene?","SELECT region_name, new_total_confirmed_cases, hospitalized_patients_intensive_care, recovered
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE DATE(date) = '2021-03-04'
  AND new_total_confirmed_cases > 900
  AND hospitalized_patients_intensive_care > 500
  AND recovered > 1000
GROUP BY region_name, new_total_confirmed_cases, hospitalized_patients_intensive_care, recovered;",Hard,LOGICAL CONNECTOR,,"Am 4. März 2021 meldete die Region Lombardia über 900 neue Fälle, mehr als 500 Patienten in der Intensivpflege und mehr als 1.000 Genesene:

Neue Fälle: 5.174
ICU-Patienten: 532
Genesene: 517.771
Wenn Sie weitere Informationen benötigen oder andere Fragen haben, lassen Sie es mich bitte wissen!",Lombardia,"9,32",JA,,
